               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  72,            0.043589,            0.023391,            0.019522,             0.54413,             0.16667,             0.20706,            0.095926,            0.035195,            0.016141,            0.021663,            0.002971,            0.002971,            0.002971
                  73,            0.044763,            0.021709,            0.016468,                   1,             0.16006,             0.25251,             0.13167,            0.032752,            0.016341,            0.021249,            0.002872,            0.002872,            0.002872
                  74,            0.043077,             0.02427,             0.01943,                   1,             0.16006,             0.25251,             0.13167,            0.032752,            0.016341,            0.021249,            0.002773,            0.002773,            0.002773
                  75,            0.046716,            0.024692,            0.014189,                   1,             0.16006,             0.25251,             0.13167,            0.032752,            0.016341,            0.021249,            0.002674,            0.002674,            0.002674
                  76,            0.045298,            0.025023,            0.015513,             0.66667,             0.16204,             0.24056,             0.13682,            0.031707,            0.016689,            0.022326,            0.002575,            0.002575,            0.002575
                  77,            0.049488,            0.020595,            0.013987,             0.66667,             0.16204,             0.24056,             0.13682,            0.031707,            0.016689,            0.022326,            0.002476,            0.002476,            0.002476
                  78,            0.044195,            0.024446,            0.011685,             0.66667,             0.16291,             0.22009,             0.13202,            0.032012,            0.016628,            0.021216,            0.002377,            0.002377,            0.002377
                  79,            0.046485,             0.02424,             0.01888,             0.66667,             0.16291,             0.22009,             0.13202,            0.032012,            0.016628,            0.021216,            0.002278,            0.002278,            0.002278
                  80,            0.043257,            0.024434,            0.012014,             0.66667,             0.16137,             0.22758,             0.12607,            0.031571,             0.01639,            0.021836,            0.002179,            0.002179,            0.002179
                  81,            0.041028,            0.024382,            0.013817,             0.66667,             0.16137,             0.22758,             0.12607,            0.031571,             0.01639,            0.021836,             0.00208,             0.00208,             0.00208
                  82,            0.047265,            0.021899,             0.01265,             0.66667,             0.16137,             0.22758,             0.12607,            0.031571,             0.01639,            0.021836,            0.001981,            0.001981,            0.001981
                  83,            0.033872,             0.01919,            0.010415,             0.66667,             0.16166,              0.2438,             0.12808,            0.031668,            0.016403,            0.021626,            0.001882,            0.001882,            0.001882
                  84,            0.044017,            0.023523,            0.014554,             0.66667,             0.16166,              0.2438,             0.12808,            0.031668,            0.016403,            0.021626,            0.001783,            0.001783,            0.001783
                  85,            0.048286,            0.024308,             0.01391,             0.66667,             0.16156,              0.2419,             0.11524,            0.031945,            0.016372,             0.02204,            0.001684,            0.001684,            0.001684
                  86,            0.044726,            0.021835,            0.015656,             0.66667,             0.16156,              0.2419,             0.11524,            0.031945,            0.016372,             0.02204,            0.001585,            0.001585,            0.001585
                  87,            0.049095,            0.020988,            0.013107,             0.66667,             0.16121,               0.232,             0.11157,            0.032198,            0.016009,             0.02209,            0.001486,            0.001486,            0.001486
                  88,            0.046494,            0.022638,            0.014057,             0.66667,             0.16121,               0.232,             0.11157,            0.032198,            0.016009,             0.02209,            0.001387,            0.001387,            0.001387
                  89,            0.041828,            0.022689,            0.013853,             0.24736,             0.24207,             0.26817,             0.11729,            0.031347,            0.016048,            0.021353,            0.001288,            0.001288,            0.001288
                  90,            0.040976,            0.022202,            0.013751,             0.24736,             0.24207,             0.26817,             0.11729,            0.031347,            0.016048,            0.021353,            0.001189,            0.001189,            0.001189
                  91,             0.04428,            0.021226,            0.021452,             0.24736,             0.24207,             0.26817,             0.11729,            0.031347,            0.016048,            0.021353,             0.00109,             0.00109,             0.00109
                  92,            0.045239,            0.024829,            0.013022,             0.33333,             0.15769,             0.25559,             0.10896,            0.031544,            0.016033,            0.023369,            0.000991,            0.000991,            0.000991
                  93,             0.04103,            0.023694,            0.012141,             0.33333,             0.15769,             0.25559,             0.10896,            0.031544,            0.016033,            0.023369,            0.000892,            0.000892,            0.000892
                  94,            0.039656,            0.019047,             0.01378,             0.15423,                0.25,             0.22793,            0.096221,            0.031117,            0.016189,            0.023136,            0.000793,            0.000793,            0.000793
                  95,            0.044968,            0.022668,            0.014215,             0.15423,                0.25,             0.22793,            0.096221,            0.031117,            0.016189,            0.023136,            0.000694,            0.000694,            0.000694
                  96,            0.034069,               0.018,            0.011739,             0.15493,             0.26432,             0.22786,            0.094915,            0.030482,            0.016288,            0.023634,            0.000595,            0.000595,            0.000595
                  97,            0.053518,            0.023036,            0.018496,             0.15493,             0.26432,             0.22786,            0.094915,            0.030482,            0.016288,            0.023634,            0.000496,            0.000496,            0.000496
                  98,            0.046471,            0.024748,            0.017757,             0.15493,             0.26432,             0.22786,            0.094915,            0.030482,            0.016288,            0.023634,            0.000397,            0.000397,            0.000397
                  99,            0.043367,            0.022676,            0.011333,             0.19174,                0.25,             0.24339,              0.1008,            0.029905,            0.016535,            0.022297,            0.000298,            0.000298,            0.000298
